A,B,C,D
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d1
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c1,d2
a1,b1,c3,d2
a1,b1,c3,d2
a1,b1,c3,d2
a1,b1,c3,d2
a1,b1,c3,d2
a1,b1,c3,d2
a1,b1,c2,d2
a1,b1,c2,d2
a1,b3,c2,d2
a1,b3,c2,d2
a1,b3,c2,d2
a1,b2,c2,d2
a1,b2,c1,d2
a1,b2,c1,d2
