Region,Happiness Score,GDP Per Capita,Life Expectancy,Freedom,Gov Trust,Generosity
Western Europe,5,5,5,5,5,4
Western Europe,5,5,5,5,4,5
Western Europe,5,5,5,5,5,5
Western Europe,5,5,5,5,5,5
North America,5,5,5,5,5,5
Western Europe,5,5,5,5,5,3
Western Europe,5,5,5,5,5,5
Western Europe,5,5,5,5,5,5
Australia and New Zealand,5,5,5,5,5,5
Australia and New Zealand,5,5,5,5,5,5
Middle East and Northern Africa,5,5,5,3,2,4
Latin America and Caribbean,5,3,4,5,3,4
Western Europe,5,5,5,5,4,4
Latin America and Caribbean,5,4,4,4,5,2
North America,5,5,5,4,4,5
Latin America and Caribbean,5,3,3,4,4,2
Western Europe,5,5,5,5,5,4
Western Europe,5,5,5,5,5,5
Western Europe,5,5,5,5,5,3
Middle East and Northern Africa,5,5,4,5,5,4
Western Europe,5,5,5,5,5,5
Middle East and Northern Africa,5,5,4,5,5,3
Latin America and Caribbean,5,4,3,3,3,1
Southeastern Asia,5,5,5,4,5,4
Latin America and Caribbean,5,4,4,4,3,4
Western Europe,5,5,5,5,5,4
Latin America and Caribbean,5,4,4,3,3,5
Middle East and Northern Africa,5,5,4,5,5,4
Western Europe,5,5,5,4,5,1
Latin America and Caribbean,5,4,4,3,3,1
Central and Eastern Europe,5,4,4,3,1,1
Latin America and Caribbean,5,4,4,5,5,3
Latin America and Caribbean,4,3,3,4,1,2
Southeastern Asia,4,3,4,4,1,5
Middle East and Northern Africa,4,5,3,2,5,2
Western Europe,4,5,5,3,2,2
Western Europe,4,4,5,5,4,5
Eastern Asia,4,5,5,2,2,4
Middle East and Northern Africa,4,5,3,4,5,2
Latin America and Caribbean,4,3,2,5,4,2
Latin America and Caribbean,4,4,2,4,1,4
Latin America and Caribbean,4,2,3,2,3,1
Latin America and Caribbean,4,2,3,5,3,4
Central and Eastern Europe,4,2,2,5,5,3
Central and Eastern Europe,4,4,4,2,1,2
Eastern Asia,4,5,5,4,4,1
Eastern Asia,4,5,5,2,2,2
Latin America and Caribbean,4,3,4,4,4,1
Middle East and Northern Africa,4,5,4,3,5,2
Western Europe,4,5,5,1,1,3
Latin America and Caribbean,4,2,2,4,3,3
Central and Eastern Europe,4,2,2,2,1,3
Latin America and Caribbean,4,2,3,4,2,5
Central and Eastern Europe,4,4,3,4,2,1
Central and Eastern Europe,4,4,5,5,1,4
Central and Eastern Europe,4,4,3,1,1,1
Latin America and Caribbean,4,2,4,4,4,4
Latin America and Caribbean,4,3,3,3,2,2
Central and Eastern Europe,4,4,4,2,4,1
Central and Eastern Europe,4,4,4,4,1,2
Southeastern Asia,4,4,3,4,3,4
Central and Eastern Europe,4,4,4,1,1,1
Middle East and Northern Africa,4,4,3,3,3,2
Central and Eastern Europe,3,4,3,2,1,1
Latin America and Caribbean,3,3,3,4,1,3
Western Europe,3,4,5,4,4,4
Western Europe,3,4,5,3,2,4
Middle East and Northern Africa,3,3,2,1,4,1
Central and Eastern Europe,3,3,3,1,1,4
Central and Eastern Europe,3,3,2,3,5,2
Sub-Saharan Africa,3,3,3,4,2,5
Eastern Asia,3,5,5,5,5,5
Central and Eastern Europe,3,4,4,3,4,1
Southeastern Asia,3,3,3,3,1,5
Southeastern Asia,3,2,4,5,3,2
